Book ID,Title,Author
100103,Eight Cousins,Louisa May Alcott
100104,The World Set Free,H.G. Wells
100106,The Variable Man,Philip K. Dick
100107,Five Weeks in a Balloon,Jules Verne
100108,The Gadfly,Ethel Lilian Voynich
100109,A Pair of Blue Eyes,Thomas Hardy
100110,The Spy,Paulo Coelho
100112,The Tower Treasure,Franklin W. Dixon
100113,Deathworld,Harry Harrison
100114,The Madonna of the Future,Henry James
100115,The Martian: A Novel,Andy Weir
100116,Roads of Destiny,OHenry
100117,Death Comes for the Archbishop,Willa Cather
100118,The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins
100119,Jacob's Room,Virginia Woolf
100120,The Legend of Sleepy Hollow,Washington Irving
100122,Ann Veronica: A Modern Love Story,H.G. Wells
100123,Heidi,Johanna Spyri
100124,At the Earth's Core,Edgar Rice Burroughs
100125,Bleak House,Charles Dickens
100126,The City of the Sun,Tommaso Campanella
100127,The Longest Journey,E.M. Forster
100128,The Mummy's Foot,Theophile Gautier
100129,The Queen of Hearts,Wilkie Collins
100130,Cousin Betty,Honore de Balzac
100131,The End of the Tether,Joseph Conrad
100132,Love Among the Chickens,P.G. Wodehouse
100134,First Lensman,E.E. Smith
100135,The Samurai Strategy,Thomas Hoover
100136,Ninety-Three,Victor Hugo
100137,The Grand Babylon Hotel,Arnold Bennett
100138,Cabbages and Kings,O. Henry
100139,The Last Days of Pompeii,Edward Bulwer Lytton
100140,Queen of the Black Coast,Robert E. Howard
100141,The Hill of Dreams,Arthur Machen
100142,A Simple Story,Elizabeth Inchbald
100143,Marjorie's New Friend,Carolyn Wells
100144,Queen Hildegarde,Laura E. Richards
100145,The Rich Little Poor Boy,Eleanor Gates
100146,At the Back of the North Wind,George MacDonald
100147,What Masie Knew,Henry James
100148,The Magnificent Ambersons,Booth Tarkington
100149,The Getting of Wisdom,Henry Handel Richardson
100150,The Mystery of the Sea,Bram Stoker
100151,The Children of the New Forest,Frederick Marryat
100152,The Beautiful and Damned,F.Scott Fitzgerald
100153,The Fiend's Delight,Ambrose Bierce
100154,Penrod,Booth Tarkington
100155,Space Viking,H. Beam Piper
100156,The Long Roll,Mary Johnston
100157,Three Lives,Gertrude Stein
100158,Small Souls,Louis Couperus
100159,A Great Reckoning,Louise Penny
100160,One of Ours,Willa Cather
100161,The Little Lady of the Big House,Jack London
100162,Tom Swift in the Land of Wonders,Victor Appleton
100163,A Fortunate Term,Angela Brazil
100164,The Gifts of Asti,Andre Norton
100165,The Shuttle,Frances Hodgson Burnett
100166,The Red One,Jack London
100167,The Yellow Claw,Sax Rohner
100168,The Valley of the Moon,Jack London
100169,The Mysterious Rider,Zane Grey
100170,The Circular Staircase,Mary Roberts Rinehart
100171,The Enchanted Castle,E. Nesbit
100172,Gullivers Travels,Jonathan Swift
100173,The Lost Continent,C. J. Cutcliffe Hyne
100174,Sky Island,L. Frank Baum
100175,The Magic Skin,Honoré de Balzac
100176,Father Goriot,Honoré de Balzac
100177,Thérèse Raquin,Émile Zola
100178,His Masterpiece,Émile Zola
100179,The Fortune of the Rougons,Émile Zola
100180,Pride and Prejudice,Jane Austen
100181,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens
100182,Cranford,Elizabeth Cleghorn Gaskell
100183,Dracula,Bram Stoker
100184,Crime and Punishment,Fyodor Dostoyevsky
100185,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
100186,The Scarlet Letter,Nathaniel Hawthorne
100187,The Wonderful Wizard of Oz,L. Frank Baum
100188,Wuthering Heights ,Emily Brontë
100189,"The Adventures of Tom Sawyer, Complete",Mark Twain
100190,Carmilla,Joseph Sheridan Le Fanu
100191,Treasure Island,Robert Louis Stevenson
100192,Notes from the Underground,Fyodor Dostoyevsky
100193,The War of the Worlds,H. G. Wells
100194,Sense and Sensibility,Jane Austen
100196,The Jungle,Upton Sinclair
100197,A Connecticut Yankee in King Arthur's Court,Mark Twain
100198,The Invisible Man: A Grotesque Romance ,H. G. Wells
100199,This Side of Paradise ,F. Scott Fitzgerald
100200,Twenty Thousand Leagues under the Sea ,Jules Verne
100201,Now we are six,A. A. Milne
100202,The Idiot ,Fyodor Dostoyevsky
100203,The Turn of the Screw,Henry James
100204,The Castle of Otranto,Horace Walpole
100205,Mrs. Dalloway ,Virginia Woolf
100206,Peter and Wendy ,J. M. Barrie
100207,Herland ,Charlotte Perkins Gilman
100208,Anne of Avonlea,L. M. Montgomery
100209,The Murder on the Links,Agatha Christie
100210,A Princess of Mars,Edgar Rice Burroughs
100211,Silas Marner ,George Eliot
100212,Far from the Madding Crowd,Thomas Hardy
100213,My Ántonia ,by Willa Cather
100214,Lord Jim ,Joseph Conrad
100215,The Professor ,Charlotte Brontë
100216,The Sea-Wolf,Jack London
100217,Adventures of Huckleberry Finn,Mark Twain
100218,A Study in Scarlet,Arthur Conan Doyle
100219,Lodore,Mary Wollstonecraft Shelley
100220,Northanger Abbey ,Jane Austen
